 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000               0               0               0               0;
     1    0.009               0               0               0               0;
     2    0.018               0               0               0               0;
     3    0.027               0               0               0               0;
     4    0.035               1               0               0               0;
     5    0.044               2               0               0               0;
     6    0.053               3               0               0               0;
     7    0.062               4               0               0               0;
     8    0.071               6               2               0               0;
     9    0.080               9               6               0               0;
    10    0.089              12              12               0               0;
    11    0.097              16              22               0               0;
    12    0.106              20              38               0               0;
    13    0.115              26              63               0               0;
    14    0.124              31              99               0               0;
    15    0.133              36             147               0               0;
    16    0.142              41             209               0               0;
    17    0.151              45             285               0               0;
    18    0.159              49             376               0               0;
    19    0.168              51             479               0               0;
    20    0.177              51             591               0               0;
    21    0.186              50             709               0               0;
    22    0.195              46             826               0               0;
    23    0.204              40             937               0               0;
    24    0.213              31            1034               0               0;
    25    0.221              21            1109               0               0;
    26    0.230              10            1154               0               0;
    27    0.239              -2            1162               0               0;
    28    0.248             -14            1128               0               0;
    29    0.257             -25            1051               0               0;
    30    0.266             -35             930               0               0;
    31    0.274             -43             762               0               0;
    32    0.283             -49             551               0               0;
    33    0.292             -51             303               0               0;
    34    0.301             -50              26               0               0;
    35    0.310             -45            -268               0               0;
    36    0.319             -37            -565               0               1;
    37    0.328             -26            -848               0               2;
    38    0.336             -14           -1101               0               3;
    39    0.345              -1           -1313               0               4;
    40    0.354              12           -1469               0               5;
    41    0.363              24           -1560               0               6;
    42    0.372              35           -1579               0               7;
    43    0.381              44           -1519               0               7;
    44    0.390              49           -1383               0               7;
    45    0.398              51           -1173               0               7;
    46    0.407              49            -900               0               7;
    47    0.416              42            -578               0               6;
    48    0.425              33            -225               0               4;
    49    0.434              21             139               0               2;
    50    0.443               9             492               0               0;
    51    0.452              -5             814               0              -2;
    52    0.460             -18            1089               0              -4;
    53    0.469             -30            1303               0              -7;
    54    0.478             -40            1443               0              -9;
    55    0.487             -47            1502               0             -10;
    56    0.496             -51            1479               0             -11;
    57    0.505             -50            1375               0             -12;
    58    0.514             -45            1199               0             -12;
    59    0.522             -37             962               0             -12;
    60    0.531             -26             680               0             -12;
    61    0.540             -13             373               0             -10;
    62    0.549               0              60               0              -9;
    63    0.558              13            -239               0              -8;
    64    0.567              26            -508               0              -7;
    65    0.576              37            -729               0              -5;
    66    0.584              45            -891               0              -4;
    67    0.593              50            -985               0              -3;
    68    0.602              51           -1009               0              -1;
    69    0.611              47            -962               0               1;
    70    0.620              40            -851               0               3;
    71    0.629              30            -688               0               4;
    72    0.638              17            -485               0               5;
    73    0.646               4            -260               0               6;
    74    0.655              -9             -30               0               6;
    75    0.664             -22             189               0               6;
    76    0.673             -34             380               0               6;
    77    0.682             -43             529               0               6;
    78    0.691             -49             627               0               6;
    79    0.699             -51             667               0               6;
    80    0.708             -49             650               0               6;
    81    0.717             -42             580               0               6;
    82    0.726             -33             466               0               6;
    83    0.735             -21             320               0               6;
    84    0.744              -8             154               0               6;
    85    0.753               5             -17               0               6;
    86    0.761              19            -178               0               6;
    87    0.770              31            -317               0               6;
    88    0.779              41            -420               0               6;
    89    0.788              48            -479               0               6;
    90    0.797              51            -490               0               6;
    91    0.806              50            -448               0               5;
    92    0.815              45            -359               0               5;
    93    0.823              36            -232               0               5;
    94    0.832              25             -76               0               5;
    95    0.841              12              93               0               5;
    96    0.850              -1             263               0               5;
    97    0.859             -15             417               0               5;
    98    0.868             -27             545               0               4;
    99    0.877             -38             632               0               4;
   100    0.885             -46             672               0               4;
   101    0.894             -51             659               0               4;
   102    0.903             -51             594               0               4;
   103    0.912             -47             481               0               4;
   104    0.921             -39             328               0               4;
   105    0.930             -28             147               0               4;
   106    0.939             -16             -50               0               4;
   107    0.947              -3            -245               0               4;
   108    0.956              11            -426               0               5;
   109    0.965              24            -577               0               5;
   110    0.974              35            -686               0               5;
   111    0.983              44            -745               0               5;
   112    0.992              50            -749               0               5;
   113    1.001              51            -692               0               5;
   114    1.009              48            -580               0               5;
   115    1.018              41            -421               0               5;
   116    1.027              32            -226               0               5;
   117    1.036              20              -9               0               4;
   118    1.045               7             213               0               2;
   119    1.054              -7             423               0               0;
   120    1.063             -20             606               0              -1;
   121    1.071             -32             749               0              -3;
   122    1.080             -42             840               0              -5;
   123    1.089             -48             872               0              -6;
   124    1.098             -51             843               0              -7;
   125    1.107             -50             755               0              -7;
   126    1.116             -44             613               0              -7;
   127    1.124             -35             429               0              -7;
