Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
9.872	2.000	2.100	1.969
9.922	2.000	2.100	1.968
9.972	2.000	2.100	1.970
10.022	2.000	2.100	1.964
10.072	2.000	2.100	1.970
10.121	2.000	2.100	1.969
10.171	2.000	2.100	1.967
10.221	2.000	2.100	1.970
10.271	2.000	2.100	1.968
10.322	2.000	2.100	1.969
10.371	2.000	2.100	1.968
10.421	2.000	2.100	1.968
10.472	2.000	2.100	1.968
10.522	2.000	2.100	1.969
10.571	2.000	2.100	1.970
10.622	2.214	2.100	1.966
10.671	3.000	2.100	1.968
10.720	4.143	2.100	1.968
10.770	4.500	2.100	1.966
10.819	4.571	2.100	1.967
10.870	4.857	2.100	1.968
10.919	5.143	2.100	1.968
10.968	5.214	2.100	1.968
11.019	5.286	2.100	1.966
11.068	5.286	2.100	1.964
11.118	5.286	2.100	1.958
11.168	5.286	2.100	1.961
11.218	5.286	2.100	1.958
11.268	5.286	2.100	1.959
11.318	5.714	2.100	1.965
11.367	6.000	2.100	1.966
11.417	6.143	2.100	1.967
11.467	6.214	2.100	1.967
11.517	6.214	2.100	1.969
11.567	6.500	2.100	1.964
11.616	6.857	2.100	1.967
11.665	7.071	2.100	1.966
11.715	7.214	2.100	1.966
11.764	7.429	2.100	1.967
11.815	7.571	2.100	1.964
11.865	7.714	2.100	1.967
11.914	7.714	2.100	1.965
11.965	7.714	2.100	1.967
12.015	7.714	2.100	1.967
12.064	7.714	2.100	1.966
12.115	7.714	2.100	1.967
12.165	7.714	2.100	1.968
12.215	7.714	2.100	1.968
12.265	7.714	2.100	1.968
12.315	7.714	2.100	1.967
12.365	7.714	2.100	1.970
12.415	7.714	2.100	1.968
12.465	7.714	2.100	1.968
12.515	7.714	2.100	1.968
12.566	7.714	2.100	1.968
12.616	7.714	2.100	1.969
12.666	7.714	2.100	1.969
12.716	7.714	2.100	1.968
12.767	7.714	2.100	1.965
12.817	7.714	2.100	1.970
12.866	7.714	2.100	1.966
12.916	7.714	2.100	1.967
12.966	8.214	2.100	1.966
13.016	8.286	2.100	1.967
13.066	8.429	2.100	1.965
13.116	8.500	2.100	1.966
13.166	8.714	2.100	1.967
13.216	8.786	2.100	1.965
13.266	9.143	2.100	1.967
13.315	9.357	2.100	1.965
13.366	9.571	2.100	1.964
13.416	9.643	2.100	1.966
13.466	9.643	2.100	1.966
13.516	9.643	2.100	1.968
13.566	9.643	2.100	1.970
13.616	9.643	2.100	1.970
13.666	9.643	2.100	1.972
13.717	9.643	2.100	1.974
13.767	9.643	2.100	1.974
13.816	9.500	2.100	1.975
13.867	9.000	2.100	1.978
13.917	7.857	2.100	1.980
13.966	7.286	2.100	1.984
14.017	7.000	2.100	1.985
14.067	6.857	2.100	1.989
14.117	6.857	2.100	1.989
14.167	6.571	2.100	1.990
14.217	6.214	2.100	1.992
14.267	6.071	2.100	1.988
14.317	6.000	2.100	1.988
14.368	6.000	2.100	1.988
14.418	6.000	2.100	1.985
14.468	6.000	2.100	1.981
14.518	6.214	2.100	1.977
14.568	6.929	2.100	1.975
14.617	7.500	2.100	1.973
14.668	7.571	2.100	1.970
14.718	7.571	2.100	1.971
14.767	7.571	2.100	1.968
14.818	7.571	2.100	1.967
14.868	7.571	2.100	1.968
14.917	7.786	2.100	1.966
14.968	7.786	2.100	1.966
15.018	7.929	2.100	1.967
15.068	7.929	2.100	1.966
15.118	8.000	2.100	1.967
15.168	8.000	2.100	1.966
15.218	8.143	2.100	1.968
15.268	8.143	2.100	1.959
15.319	8.143	2.100	1.971
15.368	8.143	2.100	1.971
15.418	8.214	2.100	1.969
15.468	8.500	2.100	1.971
15.518	8.500	2.100	1.968
15.568	8.500	2.100	1.969
15.619	8.500	2.100	1.973
15.669	8.500	2.100	1.973
15.719	8.500	2.100	1.972
15.769	8.500	2.100	1.973
15.819	8.500	2.100	1.973
15.869	8.500	2.100	1.975
15.918	8.643	2.100	1.972
15.969	8.786	2.100	1.972
16.019	8.857	2.100	1.973
16.069	8.857	2.100	1.975
16.119	8.857	2.100	1.975
16.169	9.000	2.100	1.974
16.219	9.071	2.100	1.973
16.270	9.071	2.100	1.974
16.320	9.071	2.100	1.976
16.369	9.143	2.100	1.976
16.419	9.214	2.100	1.975
16.470	9.286	2.100	1.972
16.519	9.286	2.100	1.977
16.570	9.286	2.100	1.979
16.620	9.286	2.100	1.981
16.669	9.286	2.100	1.982
16.720	9.286	2.100	1.982
16.770	9.286	2.100	1.984
16.820	9.214	2.100	1.984
16.869	9.214	2.100	1.988
16.920	9.214	2.100	1.990
16.970	9.214	2.100	1.988
17.019	9.143	2.100	1.990
17.070	9.071	2.100	1.989
17.119	9.000	2.100	1.991
17.174	9.000	2.100	1.978
17.224	9.000	2.100	1.989
17.274	9.000	2.100	1.988
17.324	9.000	2.100	1.988
17.374	8.714	2.100	1.995
17.424	8.714	2.100	1.996
17.474	8.714	2.100	2.003
17.523	8.714	2.100	2.001
17.573	8.714	2.100	2.001
17.624	8.714	2.100	1.998
17.674	8.714	2.100	2.002
17.723	8.429	2.100	2.000
17.774	8.286	2.100	2.000
17.823	8.286	2.100	2.000
17.873	8.286	2.100	2.003
17.923	8.286	2.100	2.003
17.973	8.286	2.100	2.003
18.023	8.286	2.100	2.000
18.074	8.286	2.100	1.999
18.124	8.286	2.100	2.003
18.173	8.357	2.100	2.002
18.223	8.357	2.100	2.002
18.273	8.357	2.100	2.000
18.323	8.357	2.100	2.001
18.373	8.357	2.100	2.003
18.423	8.429	2.100	2.001
18.473	8.500	2.100	1.997
18.523	8.500	2.100	2.003
18.572	8.500	2.100	2.002
18.622	8.500	2.100	2.003
18.672	8.500	2.100	2.002
18.722	8.500	2.100	2.003
18.772	8.500	2.100	2.003
18.823	8.500	2.100	2.001
18.873	8.500	2.100	2.004
18.922	8.500	2.100	2.002
18.973	8.500	2.100	2.002
19.023	8.500	2.100	2.003
19.072	8.500	2.100	2.003
19.123	8.500	2.100	2.004
19.172	8.500	2.100	2.002
19.222	8.500	2.100	2.003
19.272	8.500	2.100	2.003
19.322	8.500	2.100	2.003
19.372	8.500	2.100	2.004
19.423	8.500	2.100	2.002
19.473	8.500	2.100	2.004
19.522	8.500	2.100	2.003
19.573	8.500	2.100	2.003
19.623	8.500	2.100	2.004
19.673	8.500	2.100	2.002
19.723	8.500	2.100	2.003
19.773	8.500	2.100	2.004
19.823	8.500	2.100	2.004
19.873	8.500	2.100	2.003
19.923	8.500	2.100	2.003
19.973	8.500	2.100	2.004
20.023	8.500	2.100	2.005
20.073	8.500	2.100	2.005
20.123	8.500	2.100	2.006
20.173	8.500	2.100	2.003
20.223	8.500	2.100	2.004
20.273	8.500	2.100	2.005
20.322	8.500	2.100	2.004
20.372	8.500	2.100	2.007
20.422	8.500	2.100	2.007
20.472	8.500	2.100	2.006
20.523	8.500	2.100	2.006
20.573	8.500	2.100	2.007
20.623	8.500	2.100	2.004
20.674	8.500	2.100	2.003
20.724	8.500	2.100	2.006
20.773	8.500	2.100	2.004
20.823	8.500	2.100	2.003
20.874	8.500	2.100	2.003
20.924	8.500	2.100	2.006
20.974	8.500	2.100	2.006
21.024	8.500	2.100	2.006
21.074	8.500	2.100	2.006
21.124	8.500	2.100	2.005
21.175	8.500	2.100	2.005
21.225	8.500	2.100	2.006
21.274	8.500	2.100	2.004
21.325	8.500	2.100	2.006
21.375	8.500	2.100	2.003
21.424	8.500	2.100	2.006
21.474	8.500	2.100	2.005
21.525	8.500	2.100	2.005
21.575	8.500	2.100	2.006
21.625	8.500	2.100	2.005
21.676	8.500	2.100	2.005
21.726	8.500	2.100	2.005
21.776	8.500	2.100	2.005
21.826	8.500	2.100	2.005
21.877	8.500	2.100	2.006
21.926	8.500	2.100	2.004
21.976	8.500	2.100	2.005
22.027	8.500	2.100	2.006
22.077	8.500	2.100	2.006
22.127	8.500	2.100	2.004
22.177	8.500	2.100	2.005
22.228	8.500	2.100	2.005
22.278	8.500	2.100	2.005
22.328	8.500	2.100	2.004
22.378	8.500	2.100	2.006
22.428	8.500	2.100	2.006
22.478	8.500	2.100	2.005
22.528	8.500	2.100	2.005
22.578	8.500	2.100	2.007
22.628	8.500	2.100	2.005
22.678	8.500	2.100	2.006
22.729	8.500	2.100	2.007
22.778	8.500	2.100	2.005
22.828	8.500	2.100	2.007
22.879	8.500	2.100	2.007
22.929	8.500	2.100	2.007
22.978	8.500	2.100	2.003
23.029	8.500	2.100	2.006
23.079	8.500	2.100	1.984
23.129	8.500	2.100	2.004
23.180	8.500	2.100	1.997
23.230	8.500	2.100	2.003
23.280	8.500	2.100	1.995
23.330	8.500	2.100	2.002
23.381	8.500	2.100	2.003
23.431	8.500	2.100	1.993
23.480	8.500	2.100	1.998
23.531	8.500	2.100	2.004
23.581	8.500	2.100	2.001
23.631	8.500	2.100	2.005
23.681	8.500	2.100	2.008
23.732	8.500	2.100	2.004
23.782	8.500	2.100	2.005
23.831	8.500	2.100	1.995
23.881	8.500	2.100	2.004
23.930	8.500	2.100	2.004
23.980	8.500	2.100	2.007
24.030	8.500	2.100	2.005
24.079	8.500	2.100	2.007
24.129	8.500	2.100	2.005
24.179	8.500	2.100	2.006
24.228	8.500	2.100	2.003
24.278	8.500	2.100	2.004
24.328	8.500	2.100	2.003
24.379	8.500	2.100	2.005
24.429	8.500	2.100	2.006
24.478	8.500	2.100	2.005
24.528	8.500	2.100	2.006
24.579	8.500	2.100	2.002
24.628	8.500	2.100	2.006
24.678	8.500	2.100	2.003
24.728	8.500	2.100	2.007
